country,role,contact_phone,number_of_hires,city,remote_allowed,description,agencies_contacted,contact_email,user_id,company_name,budget_range,timeline,state,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"Canada","Project Managers","","6","Edmonton","false","Growing construction company needs experienced project managers. PMP certification preferred, 10+ years experience required.","[]","hr@constructiongroup.ca","699175bf29cd26bbd2653c05","Construction Group","$200k-$500k","Flexible","Alberta","Open","699178ed06e94195c109ab2a","2026-02-15T07:42:37.794000","2026-02-15T07:42:37.794000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"United States","Senior Full Stack Developer","+1-555-0123","2","San Francisco","true","Looking for experienced full stack developers with React and Node.js expertise. Must have 5+ years of experience and strong problem-solving skills.","[]","hiring@techinnovations.com","699175bf29cd26bbd2653c05","Tech Innovations LLC","$100k-$200k","1-3 months","California","Open","699178ed06e94195c109ab21","2026-02-15T07:42:37.793000","2026-02-15T07:42:37.793000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"United States","Registered Nurses","","10","Houston","false","Urgent need for RNs for ICU and Emergency departments. Must have active RN license and BLS certification.","[]","hr@healthfirst.com","699175bf29cd26bbd2653c05","HealthFirst Hospital","$200k-$500k","Immediate (< 1 month)","Texas","Open","699178ed06e94195c109ab22","2026-02-15T07:42:37.793000","2026-02-15T07:42:37.793000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"India","Chief Financial Officer","+91-9876543210","1","Mumbai","false","Seeking experienced CFO for multinational finance company. Must have 15+ years in finance, CPA preferred.","[]","recruitment@globalfinance.com","699175bf29cd26bbd2653c05","Global Finance Corp","$200k-$500k","3-6 months","Maharashtra","Open","699178ed06e94195c109ab23","2026-02-15T07:42:37.793000","2026-02-15T07:42:37.793000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"Canada","DevOps Engineers","","3","Toronto","true","Building DevOps team for cloud infrastructure. AWS/GCP experience required, Kubernetes and Terraform knowledge essential.","[]","jobs@saasstartup.com","699175bf29cd26bbd2653c05","SaaS Startup Inc","$100k-$200k","1-3 months","Ontario","Open","699178ed06e94195c109ab24","2026-02-15T07:42:37.793000","2026-02-15T07:42:37.793000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"India","Data Scientists","","5","Bangalore","true","Looking for data scientists with ML/AI experience. Python, TensorFlow, and big data experience required.","[]","talent@ecommerce.in","699175bf29cd26bbd2653c05","E-commerce Giant","$50k-$100k","1-3 months","Karnataka","Open","699178ed06e94195c109ab25","2026-02-15T07:42:37.793000","2026-02-15T07:42:37.793000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"Canada","Production Manager","","2","Calgary","false","Need experienced production managers for manufacturing plant. Lean manufacturing experience preferred.","[]","hr@manufacturing.ca","699175bf29cd26bbd2653c05","Manufacturing Co","$50k-$100k","Immediate (< 1 month)","Alberta","Open","699178ed06e94195c109ab26","2026-02-15T07:42:37.793000","2026-02-15T07:42:37.793000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"United States","Store Managers","","8","New York City","false","Expanding retail chain needs store managers across NYC. Retail management experience essential.","[]","hiring@retailchain.com","699175bf29cd26bbd2653c05","Retail Chain","$200k-$500k","3-6 months","New York","Open","699178ed06e94195c109ab27","2026-02-15T07:42:37.793000","2026-02-15T07:42:37.793000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"India","Research Scientists","","4","Ahmedabad","false","Seeking research scientists with pharmaceutical R&D background. PhD preferred, experience in drug development essential.","[]","recruitment@biotechlab.in","699175bf29cd26bbd2653c05","Biotech Research Lab","$50k-$100k","3-6 months","Gujarat","Open","699178ed06e94195c109ab28","2026-02-15T07:42:37.793000","2026-02-15T07:42:37.793000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"United States","UX/UI Designers","","3","Portland","true","Creative agency looking for talented UX/UI designers. Strong portfolio required, Figma expertise essential.","[]","jobs@digitalagency.com","699175bf29cd26bbd2653c05","Digital Marketing Agency","$100k-$200k","1-3 months","Oregon","Open","699178ed06e94195c109ab29","2026-02-15T07:42:37.793000","2026-02-15T07:42:37.793000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
