website,featured,hq_city,logo_url,team_size,owner_user_id,verified,description,review_count,industries_served,hq_country,min_project_size,approved,founded_year,pricing_model,avg_rating,name,hq_state,remote_support,slug,services_offered,id,created_date,updated_date,created_by_id,created_by,is_sample
"https://nextedge.in","false","Mumbai","https://ui-avatars.com/api/?name=NextEdge&background=4F46E5&color=fff&size=200&bold=true","1-10","","false","NextEdge delivers executive search and fractional HR leadership to growing companies.","0","[""Startups"",""SMBs"",""Enterprises""]","India","","true","2016","Hourly Rate","","NextEdge Talent","Maharashtra","true","nextedge-talent","[""Executive search"",""Fractional CHRO"",""Leadership assessment""]","69926debe8ad702015479f6c","2026-02-16T01:07:55.773000","2026-02-16T01:11:15.278000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"https://cielhrboutique.in","false","Bengaluru","https://ui-avatars.com/api/?name=CielHR&background=7C3AED&color=fff&size=200&bold=true","1-10","","false","Small division focused on senior hiring and retention strategies for tech startups.","0","[""Startups"",""Tech"",""SMBs""]","India","","true","2019","Hourly Rate","","CielHR Boutique Division","Karnataka","false","cielhr-boutique-division","[""Executive search"",""Retention consulting""]","69926debe8ad702015479f6d","2026-02-16T01:07:55.773000","2026-02-16T01:11:18.021000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"https://talentbridge.in","false","Pune","https://ui-avatars.com/api/?name=TalentBridge&background=2563EB&color=fff&size=200&bold=true","1-10","","false","TalentBridge is a recruiting consultancy for CXO and senior leadership hires for mid-sized firms.","0","[""SMBs"",""Enterprises"",""Healthcare""]","India","","true","2017","Hourly Rate","","TalentBridge Consulting","Maharashtra","true","talentbridge-consulting","[""Executive search"",""Leadership mapping"",""Assessment centers""]","69926debe8ad702015479f6e","2026-02-16T01:07:55.773000","2026-02-16T01:11:16.947000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"https://strategichiring.in","false","Gurgaon","https://ui-avatars.com/api/?name=Strategic&background=059669&color=fff&size=200&bold=true","1-10","","false","Strategic Hiring Solutions offers confidential searches for senior roles and board advisors.","0","[""Enterprise"",""SMBs"",""Startups""]","India","","true","2014","Hourly Rate","","Strategic Hiring Solutions","Haryana","false","strategic-hiring-solutions","[""Executive search"",""Advisory hiring"",""Board search""]","69926debe8ad702015479f6f","2026-02-16T01:07:55.773000","2026-02-16T01:11:20.175000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"https://wisemonk.io","false","Bengaluru","https://ui-avatars.com/api/?name=Wisemonk&background=DC2626&color=fff&size=200&bold=true","1-10","","false","Wisemonk provides remote staffing, EOR and HR-as-a-service for startups, focused on small distributed teams.","0","[""Startups"",""SMBs"",""E-commerce""]","India","","true","2016","Hourly Rate","","Wisemonk","Karnataka","true","wisemonk","[""Remote staffing"",""EOR"",""Payroll support""]","69926debe8ad702015479f70","2026-02-16T01:07:55.773000","2026-02-16T01:11:19.308000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"https://remoteworks.in","false","Bengaluru","https://ui-avatars.com/api/?name=RemoteWorks&background=EA580C&color=fff&size=200&bold=true","1-10","","false","RemoteWorks India sources remote developers and support staff for international clients.","0","[""Information Technology"",""E-commerce"",""SMBs""]","India","","true","2018","Hourly Rate","","RemoteWorks India","Karnataka","true","remoteworks-india","[""Remote developers"",""Support staff"",""Contract hiring""]","69926debe8ad702015479f71","2026-02-16T01:07:55.773000","2026-02-16T01:11:21.774000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"https://staffdomain.in","false","Mumbai","https://example.com/logos/staffdomain.png","1-10","","false","StaffDomain helps companies hire remote teams across India for product & growth roles.","0","[""Information Technology"",""Startups"",""Marketing""]","India","","true","2017","Hourly Rate","","StaffDomain India","Maharashtra","true","staffdomain-india","[""Remote staffing"",""Full-time remote hires"",""Part-time remote""]","69926debe8ad702015479f72","2026-02-16T01:07:55.773000","2026-02-16T01:07:55.773000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"https://virtalent.in","false","New Delhi","https://ui-avatars.com/api/?name=Virtalent&background=4F46E5&color=fff&size=200&bold=true","1-10","","false","Virtalent India focuses on virtual assistants, remote ops and admin staff for SMEs.","0","[""SMBs"",""Startups"",""E-commerce""]","India","","true","2016","Hourly Rate","","Virtalent India","Delhi","true","virtalent-india","[""Virtual assistants"",""Remote ops"",""Customer support""]","69926debe8ad702015479f73","2026-02-16T01:07:55.773000","2026-02-16T01:11:22.938000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"https://talentpod.in","false","Pune","https://ui-avatars.com/api/?name=TalentPod&background=7C3AED&color=fff&size=200&bold=true","1-10","","false","TalentPod helps startups build remote pods of engineers and product staff on contract.","0","[""Startups"",""E-commerce"",""Tech""]","India","","true","2019","Hourly Rate","","TalentPod Global","Maharashtra","true","talentpod-global","[""Remote engineering pods"",""Talent sourcing"",""Project teams""]","69926debe8ad702015479f74","2026-02-16T01:07:55.773000","2026-02-16T01:11:24.273000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
"https://contracthire.in","false","Noida","https://ui-avatars.com/api/?name=ContractHire&background=2563EB&color=fff&size=200&bold=true","1-10","","false","ContractHire supplies project-based contract staff for IT and non-IT initiatives.","0","[""Information Technology"",""Manufacturing"",""SMBs""]","India","","true","2015","Hourly Rate","","ContractHire Solutions","Uttar Pradesh","false","contracthire-solutions","[""Contract staffing"",""Project-based hires"",""Managed contractors""]","69926debe8ad702015479f75","2026-02-16T01:07:55.773000","2026-02-16T01:11:27.052000","699175bf29cd26bbd2653c05","abhipatel8675@gmail.com","false"
