name,location,employees,founded,rating,description
Top Aviation,"Cairo, Egypt",501-1000 Employees,2003,D,"Top Aviation specializes in comprehensive ground handling solutions for the aviation industry, offering services such as ramp handling supervision, computerized passenger handling, and crew transportation. With a commitment to personalized service and safety, Top Aviation positions itself as a reliable partner for clients seeking excellence in aviation support."
AN Aviation Services,"Cairo, Egypt",51-100 Employees,1991,D,"AN Aviation is a prominent ground handling and flight support company in Egypt and the UAE, authorized by CAA Egypt and GCAA UAE. They offer a comprehensive range of high-quality aviation services, including ground handling, flight planning, and fuel arrangements, making them a key player in the aviation sector in Africa and the Middle East."
Egyptian Aviation Services E.A.S,"Cairo, Egypt",1001-5000 Employees,1989,D,"Egyptian Aviation Services S.A.E. is a key player in the aviation sector, providing various services related to air travel and airport operations, including specialized aircraft sanitization."
Aviation for Aviators,"Cairo, Egypt",11-50 Employees,2019,D,"Aviation for Aviators is an online platform that educates and engages individuals interested in the aviation industry, making it a valuable resource for both enthusiasts and professionals."
Aviary.Aero,"Cairo, Egypt",51-100 Employees,1975,D,"Aviary is a specialized ground services provider in the aviation industry, offering a wide range of services such as ground handling, catering, and transportation at Egyptian airports. With over 25 years of experience, the company is committed to delivering professional and reliable aviation services tailored to the needs of its clients and partners."
Aerojet -services,Egypt,251-500 Employees,,D,"Aerojet Services is dedicated to transforming the aviation industry with a wide array of services such as ground handling, logistics, and elite charter programs. Their focus on innovation, safety, and customer satisfaction ensures a seamless travel experience for airlines and private clients alike."
Tiger Aviation Services,"Cairo, Egypt",101-250 Employees,1993,D,"Tiger Aviation Services (TAS) is a prominent player in the aviation sector, providing comprehensive ground handling support for various aircraft types and flights in Egypt. With 25 years of experience, TAS offers a wide range of services, ensuring reliable and quality support 24/7 across multiple Egyptian airports."
Set Aviation,"Cairo, Egypt",11-50 Employees,2021,D,"The company, Set Aviation, is a dedicated service provider in the aviation and aerospace industry, offering high-quality customer service and tailored solutions for airline companies. Their mission is to exceed customer expectations by creating unique and reliable travel experiences, with a strong emphasis on safety and continuous improvement."
AviSpares Defense LLC,"New Cairo City, Egypt",11-50 Employees,2015,D,"AviSpares is a prominent player in the aviation industry, offering a wide array of products and services such as spare parts, engine repairs, and maintenance for both civil and military aircraft. Their commitment to high-quality solutions and partnerships with key industry stakeholders highlights their expertise in aviation technology and services."
HighWayAviationBroker,"Cairo, Egypt",11-50 Employees,2005,D,"Highway Aviation specializes in private aviation services, featuring a fleet that includes the Global 7500 and Gulfstream G450, both known for their long-range capabilities."
AirBankco,"Cairo, Egypt",251-500 Employees,1950,D,"The company specializes in the aviation sector, providing tailored aircraft leasing solutions for football teams and their fans, as well as a wide range of aircraft spare parts. Their services include wet, damp, and dry leases, addressing the operational needs of various clients."
SKY N JET,"Cairo, Egypt",11-50 Employees,2019,D,"SKY N JET is a prominent aviation services company that specializes in comprehensive flight support and management, catering to various sectors including commercial airlines, cargo, and private jets. Their extensive offerings encompass ground handling, flight permits, flight planning, and catering, ensuring exceptional safety and quality throughout all operations."
World Sky Aviation,"Cairo, Egypt",11-50 Employees,2014,D,"WORLD SKY AVIATION is a prominent player in the aviation sector, offering extensive training programs for aspiring pilots, in collaboration with aviation schools in the U.S. and South Africa. The company emphasizes high educational standards and professional English coaching, preparing students for successful careers in the aviation industry."
