name,city,state,country,employees,founded,rating,description
Justsbr,Cairo,,Egypt,501-1000 Employees,1989,D,"The company specializes in the apparel and fashion sector, aiming to enhance customer experiences through a curated selection of premium brands. They feature Just SBR, a local Egyptian fashion brand offering high-quality women's wear, including a diverse collection of pants, tops, and jackets."
Corporate Fashion By Bishara,Cairo,,Egypt,501-1000 Employees,1999,D,"The company specializes in high-quality uniforms and workwear, emphasizing fit, functionality, style, comfort, and durability, making their garments suitable for various uniform programs. With a focus on custom design and corporate image consulting, they have been a leader in corporate uniforms since 1999, serving prestigious clients across multiple sectors."
T&C Garments,El Obour,,Egypt,5001-10000 Employees,2010,D,"T&C Garments specializes in manufacturing denim garments for leading global brands, highlighting its commitment to innovation and quality through advanced technology and a skilled team. With a production capacity of 18,000 pieces daily, it ranks among the top apparel exporting companies worldwide."
MEN'S CLUB,Cairo,,Egypt,1001-5000 Employees,1995,D,"Men's Club is a specialized menswear manufacturer that offers a wide variety of clothing, including T-shirts, jackets, pants, and shirts, all designed to reflect the latest fashion trends."
LOTUS GARMENTS CO.,Port Said,,Egypt,10001+ Employees,1994,D,"LOTUS GARMENTS CO. is a leading manufacturer of jeans and apparel, producing over 20 million units annually for top brands like Levi’s and Polo Ralph Lauren. They specialize in denim and non-denim bottoms for men, women, and kids, emphasizing innovation and sustainability in their production processes."
Calik Alexandria For Ready Made Garments,Egypt,,Egypt,1001-5000 Employees,2006,D,"Çalık Alexandria for Ready Made Garments is a prominent manufacturer of fashionable ready-made clothing, with a significant production capacity of 250,000 denim pieces and 300,000 knitted items per month. Their strong supply chain and commitment to quality enable them to meet diverse customer tastes at competitive prices."
2S HomeWear,Cairo,,Egypt,251-500 Employees,1985,D,"2S Egypt is a prominent retailer in Egypt that specializes in home wear products, offering a wide range of clothing items including pajamas, leggings, and thermal wear for women, men, and kids. Their commitment to quality and variety ensures that customers have access to over 1,200 products, making it a key destination for diverse clothing needs."
SHEEBA INTERNATIONAL GARMENTS,Port Said,,Egypt,1001-5000 Employees,1991,D,"Sheeba Garments is a prominent manufacturer and exporter of high-quality apparel in Egypt, serving primarily the US and European markets. The company emphasizes advanced machinery and technical expertise to maintain superior manufacturing standards."
Mlameh,Talkha,,Egypt,501-1000 Employees,1983,D,"Mlameh Fashion is a well-established Egyptian brand that specializes in stylish clothing for women and children, offering a diverse range of apparel to meet various fashion needs. Their collection includes trendy options for every occasion, highlighting new arrivals and exclusive seasonal styles."
Embrator,El Obour,,Egypt,1001-5000 Employees,1996,D,"Embrator, a brand under Sammakia Bros. Co., specializes in the production of circular knitting-based clothing, particularly men's underwear, home wear, and socks, while also offering a modern line of streetwear for youth. They emphasize high-quality materials, such as Egyptian cotton, and a commitment to comfort and innovation in their diverse product range."
