
======================================================================
  Ensun.io FULL Scraper — FirmsLedger
======================================================================
  Slugs to process  : 8,535
  Already done      : 0 (skipped)
  Companies / cat   : 10
  Concurrency       : 3 parallel browsers
  Est. time         : ~189 minutes
======================================================================

  [    1/8535]   0.0%  –  chemicals-petrochemicals                  0 companies  (site: ?)
  [    2/8535]   0.0%  –  food-beverage                             0 companies  (site: ?)
  [    3/8535]   0.0%  –  pharmaceuticals-healthcare                0 companies  (site: ?)
  [    4/8535]   0.0%  –  electronics-electrical                    0 companies  (site: ?)
  [    5/8535]   0.1%  –  construction-real-estate                  0 companies  (site: ?)
  [    6/8535]   0.1%  –  machinery-manufacturing                   0 companies  (site: ?)
  [    7/8535]   0.1%  –  agriculture-farming                       0 companies  (site: ?)
  [    8/8535]   0.1%  –  textiles-apparel                          0 companies  (site: ?)
  [    9/8535]   0.1%  ✓  automotive                                10 companies  (site: 10000)
  [   10/8535]   0.1%  –  metals-mining                             0 companies  (site: ?)
  [   11/8535]   0.1%  ✓  energy                                    10 companies  (site: 100)
  [   12/8535]   0.1%  –  logistics-supply-chain                    0 companies  (site: ?)
  [   13/8535]   0.2%  –  information-technology                    0 companies  (site: ?)
  [   14/8535]   0.2%  –  healthcare-services                       0 companies  (site: ?)
  [   15/8535]   0.2%  ✓  financial-services                        10 companies  (site: 100)
  [   16/8535]   0.2%  –  education-training                        0 companies  (site: ?)
  [   17/8535]   0.2%  –  retail-e-commerce                         0 companies  (site: ?)
  [   18/8535]   0.2%  –  media-marketing                           0 companies  (site: ?)
  [   19/8535]   0.2%  –  hospitality-tourism                       0 companies  (site: ?)
  [   20/8535]   0.2%  –  environmental-services                    0 companies  (site: ?)
  [   21/8535]   0.2%  ✓  professional-services                     10 companies  (site: 100)
  [   22/8535]   0.3%  –  water-sanitation                          0 companies  (site: ?)
  [   23/8535]   0.3%  ✓  packaging                                 10 companies  (site: 100)
  [   24/8535]   0.3%  –  printing-publishing                       0 companies  (site: ?)
  [   25/8535]   0.3%  –  defense-aerospace                         0 companies  (site: ?)
  [   26/8535]   0.3%  –  telecom                                   0 companies  (site: ?)
  [   27/8535]   0.3%  –  beauty-personal-care                      0 companies  (site: ?)
  [   28/8535]   0.3%  –  sports-fitness                            0 companies  (site: ?)
  [   29/8535]   0.3%  –  furniture-interior-design                 0 companies  (site: ?)
  [   30/8535]   0.4%  –  paper-forest-products                     0 companies  (site: ?)
  [   31/8535]   0.4%  –  gems-jewelry-watches                      0 companies  (site: ?)
  [   32/8535]   0.4%  –  staffing-hr                               0 companies  (site: ?)
  [   33/8535]   0.4%  –  legal-compliance                          0 companies  (site: ?)
  [   34/8535]   0.4%  –  events-entertainment                      0 companies  (site: ?)
  [   35/8535]   0.4%  –  agricultural-commodities                  0 companies  (site: ?)
  [   36/8535]   0.4%  –  biotech-life-sciences                     0 companies  (site: ?)
  [   37/8535]   0.4%  –  fashion-luxury                            0 companies  (site: ?)
  [   38/8535]   0.4%  –  medical-equipment-devices                 0 companies  (site: ?)
  [   39/8535]   0.5%  –  real-estate-services                      0 companies  (site: ?)
  [   40/8535]   0.5%  –  consumer-goods                            0 companies  (site: ?)
  [   41/8535]   0.5%  –  social-impact-ngo                         0 companies  (site: ?)
  [   42/8535]   0.5%  –  marine-shipping                           0 companies  (site: ?)
  [   43/8535]   0.5%  –  nuclear-advanced-energy                   0 companies  (site: ?)
  [   44/8535]   0.5%  –  miscellaneous-industries                  0 companies  (site: ?)
  [   45/8535]   0.5%  –  cloud-computing-saas                      0 companies  (site: ?)
  [   46/8535]   0.5%  –  artificial-intelligence-machine-learning  0 companies  (site: ?)
  [   47/8535]   0.6%  –  robotics-automation                       0 companies  (site: ?)
  [   48/8535]   0.6%  –  3d-printing-additive-manufacturing        0 companies  (site: ?)
  [   49/8535]   0.6%  –  blockchain-web3                           0 companies  (site: ?)
  [   50/8535]   0.6%  –  iot-connected-devices                     0 companies  (site: ?)
  [   51/8535]   0.6%  –  electric-vehicles-e-mobility              0 companies  (site: ?)
  [   52/8535]   0.6%  –  ar-vr-extended-reality                    0 companies  (site: ?)
  [   53/8535]   0.6%  ✓  home-services                             10 companies  (site: 100)
  [   54/8535]   0.6%  –  web-software-development                  0 companies  (site: ?)
  [   55/8535]   0.6%  –  accounting-tax                            0 companies  (site: ?)
  [   56/8535]   0.7%  –  healthcare-wellness                       0 companies  (site: ?)
  [   57/8535]   0.7%  –  childcare-eldercare                       0 companies  (site: ?)
  [   58/8535]   0.7%  –  food-services-restaurant                  0 companies  (site: ?)
  [   59/8535]   0.7%  –  architecture-design                       0 companies  (site: ?)
  [   60/8535]   0.7%  –  gardening-outdoor                         0 companies  (site: ?)
  [   61/8535]   0.7%  –  veterinary-animal-services                0 companies  (site: ?)
  [   62/8535]   0.7%  –  waste-management-recycling                0 companies  (site: ?)
  [   63/8535]   0.7%  –  edtech                                    0 companies  (site: 10000)
  [   64/8535]   0.7%  –  healthtech-telemedicine                   0 companies  (site: ?)
  [   65/8535]   0.8%  ✓  renewable-energy                          10 companies  (site: 100)
  [   66/8535]   0.8%  –  smart-home-home-automation                0 companies  (site: ?)
  [   67/8535]   0.8%  –  semiconductor-chip                        0 companies  (site: ?)
  [   68/8535]   0.8%  –  personal-care-cosmetics                   0 companies  (site: ?)
  [   69/8535]   0.8%  ✓  quantum-computing                         10 companies  (site: 100)
  [   70/8535]   0.8%  –  government-public-services                0 companies  (site: ?)
  [   71/8535]   0.8%  –  agriculture-technology                    0 companies  (site: ?)
  [   72/8535]   0.8%  –  supply-chain-technology                   0 companies  (site: ?)
  [   73/8535]   0.9%  –  human-resources-technology                0 companies  (site: ?)
  [   74/8535]   0.9%  –  property-technology                       0 companies  (site: ?)
  [   75/8535]   0.9%  –  travel-technology                         0 companies  (site: ?)
  [   76/8535]   0.9%  –  music-audio                               0 companies  (site: ?)
  [   77/8535]   0.9%  –  industrial-equipment-supplies             0 companies  (site: ?)
  [   78/8535]   0.9%  –  cleaning-sanitation                       0 companies  (site: ?)
  [   79/8535]   0.9%  –  staffing-by-industry                      0 companies  (site: ?)
  [   80/8535]   0.9%  –  wedding-events-services                   0 companies  (site: ?)
  [   81/8535]   0.9%  –  automotive-services                       0 companies  (site: ?)
  [   82/8535]   1.0%  –  photography-videography                   0 companies  (site: ?)
  [   83/8535]   1.0%  –  salon-spa-beauty-services                 0 companies  (site: ?)
  [   84/8535]   1.0%  –  storage-moving                            0 companies  (site: ?)
  [   85/8535]   1.0%  –  real-estate-agents-brokers                0 companies  (site: ?)
  [   86/8535]   1.0%  –  printing-promotional                      0 companies  (site: ?)
  [   87/8535]   1.0%  –  supplies-distribution                     0 companies  (site: ?)
  [   88/8535]   1.0%  –  laundry-dry-cleaning-alteration           0 companies  (site: ?)
  [   89/8535]   1.0%  –  immigration-visa-services                 0 companies  (site: ?)
  [   90/8535]   1.1%  –  fitness-gym                               0 companies  (site: ?)
  [   91/8535]   1.1%  –  kitchen-bath-home-improvement             0 companies  (site: ?)
  [   92/8535]   1.1%  –  notary-legal-document-tax-prep            0 companies  (site: ?)
  [   93/8535]   1.1%  –  financial-services-local                  0 companies  (site: ?)
  [   94/8535]   1.1%  ✓  bottled-water                             10 companies  (site: 100)
  [   95/8535]   1.1%  ✓  mineral-water                             10 companies  (site: 100)
  [   96/8535]   1.1%  ✓  sparkling-water                           10 companies  (site: 100)
  [   97/8535]   1.1%  ✓  flavored-water                            10 companies  (site: 100)
  [   98/8535]   1.1%  –  alkaline-water                            0 companies  (site: ?)
  [   99/8535]   1.2%  ✓  coconut-water                             10 companies  (site: 4044)
  [  100/8535]   1.2%  –  cola-beverages                            0 companies  (site: ?)
  [  101/8535]   1.2%  ✓  soft-drinks                               10 companies  (site: 3709)
  [  102/8535]   1.2%  ✓  energy-drinks                             10 companies  (site: 4196)
  [  103/8535]   1.2%  –  sports-drinks                             0 companies  (site: ?)
  [  104/8535]   1.2%  –  fruit-juices                              0 companies  (site: ?)
  [  105/8535]   1.2%  –  vegetable-juices                          0 companies  (site: ?)
  [  106/8535]   1.2%  –  smoothies                                 0 companies  (site: ?)
  [  107/8535]   1.3%  –  cold-pressed-juices                       0 companies  (site: ?)
  [  108/8535]   1.3%  –  ready-to-drink-coffee                     0 companies  (site: ?)
  [  109/8535]   1.3%  ✓  iced-tea                                  10 companies  (site: 5230)
  [  110/8535]   1.3%  ✓  kombucha                                  10 companies  (site: 100)
  [  111/8535]   1.3%  –  functional-beverages                      0 companies  (site: ?)
  [  112/8535]   1.3%  –  craft-beer                                0 companies  (site: ?)
  [  113/8535]   1.3%  ✓  beer                                      10 companies  (site: 6946)
  [  114/8535]   1.3%  –  lager                                     0 companies  (site: ?)
  [  115/8535]   1.3%  –  ale                                       0 companies  (site: ?)
  [  116/8535]   1.4%  –  stout                                     0 companies  (site: ?)
  [  117/8535]   1.4%  –  wheat-beer                                0 companies  (site: ?)
  [  118/8535]   1.4%  –  white-wine                                0 companies  (site: ?)
  [  119/8535]   1.4%  ✓  wine                                      10 companies  (site: 100)
  [  120/8535]   1.4%  ✓  red-wine                                  10 companies  (site: 100)
  [  121/8535]   1.4%  –  rose-wine                                 0 companies  (site: ?)
  [  122/8535]   1.4%  –  sparkling-wine                            0 companies  (site: ?)
  [  123/8535]   1.4%  ✓  champagne                                 10 companies  (site: 100)
  [  124/8535]   1.5%  ✓  whiskey                                   10 companies  (site: 2956)
  [  125/8535]   1.5%  ✓  vodka                                     10 companies  (site: 100)
  [  126/8535]   1.5%  –  rum                                       0 companies  (site: ?)
  [  127/8535]   1.5%  ✓  gin                                       10 companies  (site: 8050)
  [  128/8535]   1.5%  ✓  tequila                                   10 companies  (site: 100)
  [  129/8535]   1.5%  ✓  brandy                                    10 companies  (site: 100)
  [  130/8535]   1.5%  –  dairy-milk                                0 companies  (site: ?)
  [  131/8535]   1.5%  –  skim-milk                                 0 companies  (site: ?)
  [  132/8535]   1.5%  –  organic-milk                              0 companies  (site: ?)
  [  133/8535]   1.6%  –  plant-based-milk                          0 companies  (site: ?)
