name,city,state,country,employees,founded,rating,description
Evergrow Group,Giza,,Egypt,5001-10000 Employees,2006,D,"The company, EverGrow, produces one million tons of specialty fertilizers and chemicals annually, including significant quantities of potassium sulfate, calcium chloride, and NPK. They emphasize high-quality standards and sustainable practices, highlighting the crucial role of fertilizers in enhancing agricultural productivity to meet global food demands."
Suez Company For Fertilizers Production SCFP,Suez,,Egypt,251-500 Employees,2002,D,"SCFP is a manufacturer that specializes in producing a variety of agricultural fertilizers, such as single super phosphate, ammonium sulfate, and di calcium phosphate. The company's commitment to enhancing the fertilizers industry is evident through its focus on customer satisfaction and extensive market research."
AlexFert,Alexandria,,Egypt,251-500 Employees,2003,D,"AlexFert is an Egyptian joint stock company that specializes in the production of nitrogen-based fertilizers, primarily Granular Urea and Anhydrous Ammonia. With a strong production capacity and a commitment to sustainable practices, AlexFert positions itself as a key supplier in the fertilizer market, targeting European, American, and African markets."
KGSIndustry,Cairo,,Egypt,501-1000 Employees,2011,D,"KGS Industry specializes in agricultural fertilizers that are crucial for enhancing soil fertility and boosting crop productivity. Their products are designed for rapid growth and sustainable farming practices, making them a leading provider of fertilizers in Egypt."
Tetra Group Fertilizers,Cairo,,Egypt,11-50 Employees,,D,"The company specializes in producing high-quality specialty fertilizers for fertigation and foliar nutrition, offering a wide range of liquid and water-soluble products that cater to various crop needs. Their commitment to quality and innovation establishes them as a leader in the fertilizer sector."
Kayan Group,Alexandria,,Egypt,11-50 Employees,2017,D,"The company specializes in agribusiness, focusing on providing a range of products and services aimed at enhancing food production and improving crop quality for farmers. With expertise in agrochemicals and fertilizers, the company leverages advanced technologies to support farmers in achieving their goals."
Egyptian French Company for Plant Tissue Culture S.A.E,Cairo,,Egypt,51-100 Employees,2019,D,"The Egyptian French Company for Plant Tissue Culture S.A.E (EFC Plants) specializes in plant tissue culture and research, focusing on the micropropagation of various plants."
Future for Agricultural Materials,Egypt,,Egypt,11-50 Employees,2009,D,"Future for Agricultural Materials (FAMCO) in Egypt specializes in fertilizers, offering high-quality products designed to enhance crop quality and yield. Their expertise and skilled team ensure farmers have access to essential agricultural materials that support effective crop production."
Eco Agro Science,Cairo,,Egypt,51-100 Employees,,D,"Eco Agro is a manufacturer that specializes in innovative fertilizers, particularly highlighting their Eco Fol product, which is an integral fertilizer containing essential macro and micro elements. This high-solubility fertilizer promotes plant growth at all stages, making it ideal for vegetables, field crops, and early fruit development."
RAWAG for Industry and Trade,Cairo,,Egypt,251-500 Employees,2004,D,"RAWAG Business is a specialized manufacturer and supplier of fertilizers, particularly focusing on Single Super Phosphate and other mineral products like Rock Phosphate and Limestone. With nearly 15 years of experience and ISO 9001 certification, the company ensures high-quality agricultural inputs for expanding markets."
