name,city,state,country,employees,founded,description
Cervecería Nacional,Guayaquil,,Ecuador,1001-5000 Employees,1887,"Cervecería Nacional is a prominent beer manufacturer in Ecuador, known for its high-quality brands like Pilsener and Club. With a strong commitment to local development and a robust production network, the company plays a significant role in the country's beverage sector."
Carlsberg Group,Copenhagen,,Denmark,10001+ Employees,1847,"Carlsberg Group is a prominent beer manufacturer with a diverse portfolio that includes core brands, craft brews, and alcohol-free options. One of their offerings, BOR YAU Lager, is a modern lager with citrus-like hop aromatics, making it a popular choice."
Manhattan Beer Distributors,New York,,United States,1001-5000 Employees,1978,"Manhattan Beer & Beverage Distributors is New York's leading beer and beverage distributor, showcasing a diverse portfolio of products. With a strong commitment to their mission and values, they emphasize their growth and leadership in the industry since 1978."
Anheuser Busch Companies,St. Louis,,United States,10001+ Employees,1925,"Anheuser-Busch is a prominent brewery known for its high-quality beers, including well-known brands like Budweiser and Bud Light. The company emphasizes responsible drinking and sustainability while maintaining a diverse portfolio of beverages."
AB InBev APAC,Guangzhou City,,China,10001+ Employees,,"Budweiser Brewing Company APAC Limited is a major player in the beer industry, with notable brands like Budweiser, Corona, and Harbin Beer. They offer a diverse range of beers, emphasizing quality and unique flavors, catering to various consumer preferences across the Asia Pacific region."
Budweiser Brewing Company,Huangpu District,,China,10001+ Employees,1888,"Budweiser Brewing Company APAC Limited is a major player in the beer industry, with notable brands like Budweiser, Corona, and Harbin Beer. They offer a diverse range of beers, emphasizing quality and unique flavors, catering to various consumer preferences across the Asia Pacific region."
Radeberger Gruppe KG,Frankfurt,,Germany,5001-10000 Employees,,"The company is a prominent player in the German brewing industry, manufacturing a variety of beers, including Radeberger Pilsner and Jever Pilsener. With a focus on high-quality raw materials and advanced technologies, it also offers tailored solutions for the gastronomy and retail sectors."
Molson Coors,Denver,,United States,10001+ Employees,1786,"Molson Coors Beverage Company is a prominent manufacturer of various beverages, including well-known beer brands like Coors Light, Miller Lite, and Blue Moon. The company is dedicated to sustainable brewing practices and responsible marketing, enhancing its commitment to community impact and industry standards."
Boelter Companies,United States,,United States,251-500 Employees,1929,"Boelter is a foodservice and beverage partner that provides solutions to breweries and restaurants, highlighting their expertise in the beverage industry. Their portfolio includes branded beverage products, indicating a focus on enhancing the beer experience."
Carlton & United Breweries,Melbourne,,Australia,1001-5000 Employees,1995,"Carlton & United Breweries (CUB) is a prominent beer company in Australia, producing over 80 million slabs of beer annually and committed to brewing high-quality beers using the finest natural ingredients. They also emphasize responsible alcohol consumption and support local jobs across various sectors."
